,neg,neu,pos
0,0.0,0.902,0.098
1,0.0,0.884,0.116
2,0.141,0.859,0.0
3,0.0,1.0,0.0
4,0.0,0.9,0.1
5,0.052,0.561,0.388
6,0.061,0.772,0.167
7,0.0,1.0,0.0
8,0.11,0.89,0.0
9,0.027,0.647,0.326
10,0.218,0.782,0.0
11,0.0,0.899,0.101
12,0.0,0.963,0.037
13,0.0,0.859,0.141
14,0.0,1.0,0.0
15,0.11,0.839,0.051
16,0.038,0.962,0.0
17,0.042,0.793,0.165
18,0.0,1.0,0.0
19,0.068,0.932,0.0
20,0.0,0.907,0.093
21,0.023,0.871,0.106
22,0.081,0.919,0.0
23,0.0,1.0,0.0
24,0.0,0.785,0.215
25,0.0,0.8,0.2
26,0.071,0.929,0.0
27,0.0,1.0,0.0
28,0.0,1.0,0.0
29,0.17,0.83,0.0
30,0.0,1.0,0.0
31,0.0,1.0,0.0
32,0.07,0.93,0.0
33,0.352,0.503,0.145
34,0.124,0.876,0.0
35,0.181,0.75,0.069
36,0.075,0.794,0.13
37,0.0,0.967,0.033
38,0.0,0.918,0.082
39,0.0,0.888,0.112
